"Children are safe among family members such as grandparents, uncles, aunts, cousins",Children are mainly abused by strangers in our society,Male children dont need sexual abuse prevention knowledge,Teaching sexual abuse prevention in school is not necessary. It will make children curious about sex,Knowledge Level
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Intermediate
Agree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Agree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Intermediate
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Intermediate
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Intermediate
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Intermediate
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Intermediate
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Agree,Agree,Agree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Intermediate
Agree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Disagree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Intermediate
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Disagree,Agree,Agree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Intermediate
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Disagree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Agree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Agree,Agree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Disagree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Agree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Agree,Agree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Agree,Agree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Agree,Disagree,Disagree,Intermediate
Disagree,Disagree,Disagree,Disagree,Intermediate
Agree,Disagree,Disagree,Agree,Beginner
Disagree,Disagree,Agree,Disagree,Beginner
Disagree,Disagree,Agree,Agree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Agree,Agree,Agree,Disagree,Beginner
Agree,Agree,Disagree,Disagree,Beginner
Disagree,Disagree,Disagree,Disagree,Beginner
Agree,Disagree,Disagree,Disagree,Intermediate
